model,epsilon,forced_num_layers,actual_num_layers,pertinent_layers,avg_cos_sim,max_cos_sim,pile_bpb_pre,alpaca_bpb_pre,pile_bpb,alpaca_bpb
Qwen/Qwen3-8B,0.05,7,7,"[15, 16, 17, 18, 19, 20, 22]",0.2390,0.4123,0.7497,0.7496,0.7585,0.7368
Qwen/Qwen3-8B,0.05,10,10,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.2833,0.4081,0.7497,0.7496,0.7578,0.7305
Qwen/Qwen3-8B,0.05,15,15,"[1, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29]",0.2595,0.4142,0.7497,0.7496,0.7622,0.7463
Qwen/Qwen3-8B,0.05,20,20,"[1, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 34, 35]",0.2522,0.4133,0.7497,0.7496,0.7636,0.7352
Qwen/Qwen3-8B,0.05,25,25,"[1, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.2487,0.4154,0.7497,0.7496,0.7681,0.7329
google/gemma-2-9b-it,0.01,10,10,"[16, 17, 19, 21, 36, 37, 38, 39, 40, 41]",0.3078,0.7574,0.8140,0.6560,0.8443,0.6228
google/gemma-2-9b-it,0.01,20,20,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30, 31, 36, 37, 38, 39, 40, 41]",0.3840,0.7190,0.8140,0.6560,0.8373,0.6245
google/gemma-2-9b-it,0.01,33,33,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.3573,0.6441,0.8140,0.6560,0.8505,0.6414
google/gemma-2-9b-it,0.01,38,38,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.2999,0.6088,0.8140,0.6560,0.8566,0.6535
google/gemma-2-9b-it,0.01,42,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.2706,0.6064,0.8140,0.6560,0.8594,0.6573
